user,comment
RADDISH KIMCHI,Jisoo is the best thing happened to YG😍🧡
Cristi Cortez,ᆾᅥᄅᄆ규ᅳᄌ배ᅭᇀᅳ
anyi Castillo,Q linda la cara de rose y Jennie y jisoo
Osman ahmed,Jisoo Still Cool
Hải Nguyễn,Thìyc
-Yalda toys review-,"plot twist all of this is a act its not real
lol"
NUR DAMIA NASUHA BINTI ASRAF Moe,5:03 jisso sound so cute
مرام ولين المهبلة,yami yami
지수터틀래빗킴,5:00 그 유명한 지수의 헬륨가스 송
logical being,The fact that all of this is scripted just breaks my heart
sreeja Reddy,Omg 😳😳😳 jisooo voice ❤️such a cute one omg
Asyifa Fitriani,Aku suka flim Blackpink🖤BLΛƆKPIИK💗
neneng neneng,ilove you the jennie 💝💝💝💝
☾︎𝐾𝐼𝑀 𝐽𝐸𝑁𝑍𝑆☽︎,1:17 BOOOOOOOH
SHAILESH RABARI,My favorite Blackpink :
Raina Lalwani,10:17 the cats were to lucky that they were at Blackpink’s house
loveyou...67,Love you
Aly Aethetic,JISOO soo cute 😻✨
💞Ecrin💞,I LOVE YOU ROSEEEEEEEEEE
Bilge Akyüz,blackpink cute!
Mr비밀,영어 댓글 차단 못하냐? 이젠 짜증나네
Alicia Mendoza,"5:41
La carita de jisoo que linda!!"
Salsabila Edit,"5:00 Jisoo so cute, anyeong anyeong 😍 and rose reaction so cute"
王婕翎,Jisoo so cute
Plutonium Edits,it is soo cute
Zaara Khan XII-E,Jennie listening to her bestie dua's song
Abdou Mohamed,Jisoo so cuuuuuuuute 😍😍❤️
blackpink fan 💖,5:00 jisoo so cute voice 💘💖💕😉
Nazım Sert,Rosé fly🤭
준민 이,지수 사랑해여
SAITEJA MARELLA,Who is here after BLACKPINK 5th year vlive 👇
Maria Ysabelle,So cuteee jisoo's voice 😻
{Fan} Lalisa Manoban { Blink },Ai 2021 vẫn xem
บุษยรัตร์ กันศรีเวียง,กดอนน
บุษยรัตร์ กันศรีเวียง,กดแนน
บุษยรัตร์ กันศรีเวียง,กดปนน
บุษยรัตร์ กันศรีเวียง,กดผนน
บุษยรัตร์ กันศรีเวียง,กดฟนน
บุษยรัตร์ กันศรีเวียง,กดหนน
บุษยรัตร์ กันศรีเวียง,กดหรร
บุษยรัตร์ กันศรีเวียง,กดไรน
บุษยรัตร์ กันศรีเวียง,กดพรน
บุษยรัตร์ กันศรีเวียง,กดะ16
Eric Lee,"五週年Vlive結尾 來回味的
⬇️"
Kaecy Sotomango,@$()#######
히히,5:00 jisoo's voice is too cute
Rosé's Loyal Servant.,Watching this ep because helium song is so iconic
fatimah azzahra,안녕하세요 블랙핑크
Vanessa Siangshai,Jennie and jisoo concentrating on cooking whereas rosé and lisa are playing 😂
Alexxa Kiyutt,3:31
Syahmi Arif,comeback here to see jisoo iconic helium voice after ot4 vlive
B B S my diamonds I don't need light to shine,Came here after the vlive
成島すみれ,"I love jisoo’s helium song very much💕💕
Happy 5th anniversary 🎉"
riddikulus toga,4:59 went here after bp’s 5th anniv vlive to reminisce haha!
Gia linh Nguyễn,Jisoo
Zurie_Weiss,I am here after the OT4 5th Anniv Vlive. They sang Jisoo's Helium Song at 05:00. Lol. Love these girls. ❤️❤️❤️❤️
Parwa Hiwa,O rose you are so nais
Jang Grae,Who's here after hearing blackpink sing jisoo's helium song after 3 years?
Alessandr_ale,Después de verlo vlive vine a recordar la canción de jisso 😭💓✨✨
Louie Baquiano,Came here again because blackpink sang again the helium song in their 5th anniv vlive.
Ninja Turtle,"JISOO DID THE HELIUM SONG AGAIN!!! HAHAHAHA BUT THIS TIME, IT'S TOGETHER WITH BLACKPINK HAHAHA"
kenneth gabriel,who's here from blackpink 5th anniversary vlive??
Mariah B.,"Jenni, Lisa, Rose: Dressed up in cute winter outfits
Jisoo, The Visual: Sweats

LOL"
Ruqia💕,Rose cute🤏🥰
ReignPaula Paz,5:00
ReignPaula Paz,5:00
Sabarina Sabdin,All cute
황매연,좨송제가한번더말을했내요
황매연,그런데 고양이밥먹을떼눈마주치면안돼요^^
thảo Phương,l love BLACKPINK
Lavanya Sudhir,5:00 jisoo is soo cute
Bella Olsen,I really love jisoo she is soo cute🥰💖💝
Vishnu Sharma,"If u are a real blink answer these questions 

What we call blackpink haters 
 Options 
A) blackhead 40 points 
B) haters 20 points 
C) idk 0 points 

Who is the leader of blackpink
Options

A) Lisa 20 points 
B)  jisoo 30 points 
C). Rose 10 points 

Who is the cute girl in blackpink 
Options 

A) jisoo 40 points
B) Jennie 30 points
C) all of them 90 points 


Who is the main dancer of blackpink 
Options 

A) Jennie 20 points
B) rose 30 points 
C) Lisa 50 points 

No cheating 

Who is the called laziest girl to google but a strong girl in the blackpink
Options 

A) Lisa 40 point 
B) Jennie 70 points
C)  rose 10 points 

Add your points and that is your answer

If u got 190 u know blackpink half
If u got  near 100 u know fully blackpink 

Sent me your answer I will tell u are pass or not"
